Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac
149.0625 87.8638 0.4959 0.2053 0.2987 0.00000 6.775 1500.0 12.0 0.0000 0.4176 50.59 0.0661
151.8750 87.8638 0.4943 0.2074 0.2983 0.00000 6.759 1500.0 12.0 0.0000 0.4559 55.26 0.0721
154.6875 87.8638 0.4459 0.2372 0.3169 0.00000 7.290 1500.0 12.0 0.0000 0.4169 52.30 0.0740
157.5000 87.8638 0.4518 0.2344 0.3138 0.00000 7.198 1500.0 12.0 0.0000 0.4125 51.51 0.0782
160.3125 87.8638 0.3989 0.2675 0.3336 0.00000 7.765 1500.0 12.0 0.0000 0.3880 50.21 0.0824
163.1250 87.8638 0.3779 0.2811 0.3411 0.00000 7.981 1500.0 12.0 0.0000 0.3645 47.82 0.0857
165.9375 87.8638 0.4105 0.2608 0.3287 0.00000 7.622 1500.0 12.0 0.0000 0.3412 43.80 0.0842
168.7500 87.8638 0.4409 0.2413 0.3178 0.00000 7.312 1500.0 12.0 0.0000 0.3021 38.00 0.0800
171.5625 87.8638 0.4277 0.2475 0.3248 0.00000 7.513 1500.0 12.0 0.0000 0.2284 29.03 0.0705
174.3750 87.8638 0.3696 0.2865 0.3439 0.00000 8.062 1500.0 12.0 0.0000 0.2785 36.74 0.0880
177.1875 87.8638 0.3474 0.3019 0.3506 0.00000 8.260 1500.0 12.0 0.0000 0.2769 37.02 0.0953
180.0000 87.8638 0.3611 0.2973 0.3417 0.00000 8.054 1500.0 12.0 0.0000 0.2673 35.35 0.0996
-177.1875 87.8638 0.3874 0.2870 0.3256 0.00000 7.679 1500.0 12.0 0.0000 0.2607 33.77 0.1052
-174.3750 87.8638 0.3946 0.2759 0.3295 0.00000 7.623 1500.0 12.0 0.0000 0.2574 33.31 0.1107
-171.5625 87.8638 0.3581 0.3001 0.3418 0.00000 7.984 1500.0 12.0 0.0000 0.2451 32.46 0.1172
-168.7500 87.8638 0.3906 0.2746 0.3348 0.00000 7.223 1500.0 12.0 0.0000 0.2651 34.46 0.1204
-165.9375 87.8638 0.3451 0.2964 0.3584 0.00000 7.206 1500.0 12.0 0.0000 0.2874 38.62 0.1249
-163.1250 87.8638 0.3694 0.2827 0.3479 0.00000 6.944 1500.0 12.0 0.0000 0.2792 36.90 0.1292
-160.3125 87.8638 0.2939 0.3155 0.3906 0.00000 6.738 1500.0 12.0 0.0000 0.3686 51.49 0.1329
-157.5000 87.8638 0.3257 0.3097 0.3646 0.00000 7.229 1500.0 12.0 0.0000 0.2667 36.27 0.1368
-154.6875 87.8638 0.3395 0.2930 0.3675 0.00000 6.490 1500.0 12.0 0.0000 0.3188 43.15 0.1401
-151.8750 87.8638 0.3122 0.3273 0.3605 0.00000 7.272 1500.0 12.0 0.0000 0.2448 33.41 0.1427
-149.0625 87.8638 0.3467 0.2915 0.3618 0.00000 6.487 1500.0 12.0 0.0000 0.2856 38.43 0.1467
-146.2500 87.8638 0.3021 0.3258 0.3721 0.00000 6.680 1500.0 12.0 0.0000 0.2790 38.48 0.1485
-143.4375 87.8638 0.3051 0.3158 0.3790 0.00000 6.441 1500.0 12.0 0.0000 0.3009 41.60 0.1518
-140.6250 87.8638 0.2755 0.3359 0.3886 0.00000 6.674 1500.0 12.0 0.0000 0.3044 42.82 0.1544
-137.8125 87.8638 0.3364 0.3000 0.3636 0.00000 6.506 1500.0 12.0 0.0000 0.2680 36.25 0.1571
-135.0000 87.8638 0.3199 0.3045 0.3756 0.00000 6.250 1500.0 12.0 0.0000 0.3080 42.23 0.1593
-132.1875 87.8638 0.3361 0.2982 0.3658 0.00000 6.256 1500.0 12.0 0.0000 0.2899 39.27 0.1620
-129.3750 87.8638 0.2964 0.3212 0.3824 0.00000 6.317 1500.0 12.0 0.0000 0.3125 43.43 0.1644
-126.5625 87.8638 0.2991 0.3280 0.3729 0.00000 6.679 1500.0 12.0 0.0000 0.2615 36.12 0.1674
-123.7500 87.8638 0.2875 0.3373 0.3752 0.00000 7.172 1500.0 12.0 0.0000 0.2372 32.97 0.1689
-120.9375 87.8638 0.2852 0.3495 0.3653 0.00000 7.503 1500.0 12.0 0.0000 0.2029 28.09 0.1711
-118.1250 87.8638 0.2968 0.3404 0.3628 0.00000 7.275 1500.0 12.0 0.0000 0.2021 27.80 0.1713
-115.3125 87.8638 0.2645 0.3644 0.3711 0.00000 7.733 1500.0 12.0 0.0000 0.1994 27.94 0.1720
-112.5000 87.8638 0.2774 0.3498 0.3728 0.00000 7.074 1500.0 12.0 0.0000 0.2407 33.57 0.1726
-109.6875 87.8638 0.2890 0.3406 0.3704 0.00000 7.432 1500.0 12.0 0.0000 0.2122 29.40 0.1719
-106.8750 87.8638 0.3406 0.3027 0.3567 0.00000 6.508 1500.0 12.0 0.0000 0.2813 37.84 0.1716
-104.0625 87.8638 0.3472 0.2966 0.3562 0.00000 6.346 1500.0 12.0 0.0000 0.3156 42.33 0.1722
-101.2500 87.8638 0.4011 0.2689 0.3300 0.00000 6.225 1500.0 12.0 0.0000 0.3826 49.36 0.1717
-98.4375 87.8638 0.4005 0.2656 0.3338 0.00000 6.151 1500.0 12.0 0.0000 0.3531 45.67 0.1705
-95.6250 87.8638 0.3412 0.2950 0.3639 0.00000 6.229 1500.0 12.0 0.0000 0.2840 38.34 0.1705
-92.8125 87.8638 0.3097 0.3185 0.3719 0.00000 6.425 1500.0 12.0 0.0000 0.3273 44.98 0.1702
-90.0000 87.8638 0.3786 0.2933 0.3281 0.00000 6.739 1500.0 12.0 0.0000 0.3423 44.58 0.1700
-87.1875 87.8638 0.3618 0.3159 0.3223 0.00000 7.621 1500.0 12.0 0.0000 0.2693 35.23 0.1703
-84.3750 87.8638 0.4635 0.2472 0.2893 0.00000 6.513 1500.0 12.0 0.0000 0.3342 40.92 0.1685
-81.5625 87.8638 0.4774 0.2419 0.2807 0.00000 6.963 1500.0 12.0 0.0000 0.2931 35.47 0.1678
-78.7500 87.8638 0.5158 0.2149 0.2693 0.00000 6.322 1500.0 12.0 0.0000 0.2731 32.20 0.1664
-75.9375 87.8638 0.4890 0.2289 0.2821 0.00000 6.379 1500.0 12.0 0.0000 0.2673 32.18 0.1661
-73.1250 87.8638 0.4710 0.2379 0.2910 0.00000 6.420 1500.0 12.0 0.0000 0.2569 31.37 0.1659
-70.3125 87.8638 0.4719 0.2370 0.2911 0.00000 6.426 1500.0 12.0 0.0000 0.2574 31.42 0.1649
-67.5000 87.8638 0.4723 0.2365 0.2912 0.00000 6.433 1500.0 12.0 0.0000 0.2635 32.16 0.1636
-64.6875 87.8638 0.4729 0.2357 0.2914 0.00000 6.445 1500.0 12.0 0.0000 0.2721 33.20 0.1612
