Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation
-95.6250 85.7606 0.6061 0.1465 0.2474 0.00000 7.033 1500.0 12.0 0.0000 0.0820 10.00 0.0628 0.0000 0.0000
-90.0000 85.7606 0.5351 0.1859 0.2790 0.00000 7.447 1500.0 12.0 0.0000 0.0759 10.00 0.0628 0.0000 0.0000
-84.3750 85.7606 0.5935 0.1543 0.2522 0.00000 7.096 1500.0 12.0 0.0000 0.0907 10.16 0.0628 0.0000 0.0000
-78.7500 85.7606 0.5718 0.1669 0.2612 0.00000 7.127 1500.0 12.0 0.0000 0.0798 10.00 0.0628 0.0000 0.0000
-73.1250 85.7606 0.4727 0.2222 0.3052 0.00000 7.465 1500.0 12.0 0.0000 0.0435 10.00 0.0628 0.0000 0.0000
-67.5000 85.7606 0.4305 0.2491 0.3204 0.00000 7.860 1500.0 12.0 0.0000 0.0426 10.00 0.0628 0.0000 0.0000
-61.8750 85.7606 0.4382 0.2460 0.3159 0.00000 7.788 1500.0 12.0 0.0000 0.0513 10.00 0.0628 0.0000 0.0000
-56.2500 85.7606 0.3802 0.2788 0.3410 0.00000 8.228 1500.0 12.0 0.0000 0.0411 10.00 0.0628 0.0000 0.0000
-50.6250 85.7606 0.3632 0.2873 0.3495 0.00000 8.294 1500.0 12.0 0.0000 0.0361 10.00 0.0628 0.0000 0.0000
-45.0000 85.7606 0.3928 0.2681 0.3392 0.00000 8.028 1500.0 12.0 0.0000 0.0499 10.00 0.0628 0.0000 0.0000
-39.3750 85.7606 0.4473 0.2341 0.3186 0.00000 7.499 1500.0 12.0 0.0000 0.0587 10.00 0.0628 0.0000 0.0000
50.6250 80.2688 0.4439 0.2310 0.3251 0.00000 7.113 1500.0 12.0 0.0000 0.1237 15.61 0.0628 0.0000 0.0001
56.2500 80.2688 0.4539 0.2089 0.3371 0.00000 7.486 1499.9 12.0 0.0000 0.1952 24.67 0.0628 0.0001 0.0009
61.8750 80.2688 0.4869 0.1905 0.3225 0.00000 7.294 1499.9 12.0 0.0000 0.2240 27.64 0.0628 0.0001 0.0009
67.5000 80.2688 0.4119 0.2327 0.3555 0.00000 6.784 1500.0 12.0 0.0000 0.2959 38.52 0.0628 0.0000 0.0001
73.1250 80.2688 0.3543 0.2797 0.3660 0.00000 7.508 1500.0 12.0 0.0000 0.2470 33.19 0.0628 0.0000 0.0000
78.7500 80.2688 0.4396 0.2277 0.3327 0.00000 7.087 1500.0 12.0 0.0000 0.2623 33.28 0.0628 0.0000 0.0000
84.3750 80.2688 0.4613 0.2107 0.3280 0.00000 6.654 1500.0 12.0 0.0000 0.2366 29.64 0.0628 0.0000 0.0000
90.0000 80.2688 0.4604 0.2173 0.3222 0.00000 6.754 1500.0 12.0 0.0000 0.1113 13.91 0.0628 0.0000 0.0000
95.6250 80.2688 0.4644 0.2169 0.3187 0.00000 6.800 1500.0 12.0 0.0000 0.0967 12.03 0.0628 0.0000 0.0000
101.2500 80.2688 0.4889 0.2063 0.3048 0.00000 6.790 1500.0 12.0 0.0000 0.0734 10.00 0.0628 0.0000 0.0000
106.8750 80.2688 0.4094 0.2647 0.3259 0.00000 7.730 1500.0 12.0 0.0000 0.0543 10.00 0.0628 0.0000 0.0000
112.5000 80.2688 0.3464 0.2984 0.3552 0.00000 8.471 1500.0 12.0 0.0000 0.0492 10.00 0.0628 0.0000 0.0000
118.1250 80.2688 0.3906 0.2673 0.3422 0.00000 7.867 1500.0 12.0 0.0000 0.0518 10.00 0.0628 0.0000 0.0000
123.7500 80.2688 0.4409 0.2355 0.3237 0.00000 7.313 1500.0 12.0 0.0000 0.0609 10.00 0.0628 0.0000 0.0000
129.3750 80.2688 0.4637 0.2239 0.3124 0.00000 7.180 1500.0 12.0 0.0000 0.0803 10.00 0.0628 0.0000 0.0000
135.0000 80.2688 0.4476 0.2346 0.3179 0.00000 7.364 1500.0 12.0 0.0000 0.1262 15.83 0.0628 0.0000 0.0000
140.6250 80.2688 0.4676 0.2247 0.3077 0.00000 7.501 1500.0 12.0 0.0000 0.2042 25.21 0.0628 0.0000 0.0000
146.2500 80.2688 0.5372 0.1886 0.2742 0.00000 7.511 1500.0 12.0 0.0000 0.2773 32.43 0.0628 0.0000 0.0000
151.8750 80.2688 0.5645 0.1735 0.2620 0.00000 7.416 1500.0 12.0 0.0000 0.2538 29.06 0.0628 0.0000 0.0000
157.5000 80.2688 0.4466 0.2274 0.3260 0.00000 7.515 1500.0 12.0 0.0000 0.2195 27.66 0.0628 0.0000 0.0000
