Lon Lat b theta_s theta_fc theta_wp awc_mm evaporable_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
174.3750 85.7606 6.55755 0.430579 0.322388 0.155203 24.570 26.403 0.590444 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
180.0000 85.7606 7.18364 0.440891 0.350283 0.179725 24.810 26.879 0.575448 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-174.3750 85.7606 6.92552 0.439701 0.345239 0.172786 26.314 28.549 0.646676 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-168.7500 85.7606 6.43674 0.433889 0.327599 0.155562 25.348 27.196 0.594192 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-163.1250 85.7606 6.26125 0.430735 0.318802 0.148258 25.847 27.734 0.636366 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-157.5000 85.7606 6.69038 0.435945 0.334909 0.163588 24.423 26.211 0.546395 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-151.8750 85.7606 6.90313 0.438812 0.343169 0.171365 23.687 25.399 0.499535 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-146.2500 85.7606 6.52105 0.434960 0.330861 0.158631 25.005 26.822 0.572637 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-140.6250 85.7606 6.43599 0.435774 0.331498 0.157400 26.549 28.582 0.645738 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-135.0000 85.7606 6.46716 0.434844 0.329956 0.157231 25.028 26.820 0.569825 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-129.3750 85.7606 6.82627 0.438279 0.341244 0.169077 23.899 25.620 0.508907 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-123.7500 85.7606 6.91217 0.440103 0.345932 0.172902 24.327 26.148 0.526714 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-118.1250 85.7606 6.85063 0.440848 0.346834 0.172276 25.474 27.473 0.580134 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-112.5000 85.7606 6.28474 0.435132 0.328227 0.153078 27.776 29.940 0.706656 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
