Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation
-95.6250 85.7606 0.5722 0.1675 0.2603 0.00000 7.261 1500.0 12.0 0.0000 0.0753 10.00 0.0628 0.0000 0.0000
-90.0000 85.7606 0.4820 0.2183 0.2996 0.00000 7.886 1500.0 12.0 0.0000 0.0630 10.00 0.0628 0.0000 0.0000
-84.3750 85.7606 0.5790 0.1632 0.2577 0.00000 7.195 1500.0 12.0 0.0000 0.0866 10.00 0.0628 0.0000 0.0000
-78.7500 85.7606 0.5633 0.1724 0.2643 0.00000 7.183 1500.0 12.0 0.0000 0.0770 10.00 0.0628 0.0000 0.0000
-73.1250 85.7606 0.4727 0.2222 0.3052 0.00000 7.465 1500.0 12.0 0.0000 0.0430 10.00 0.0628 0.0000 0.0000
-67.5000 85.7606 0.4305 0.2491 0.3204 0.00000 7.860 1500.0 12.0 0.0000 0.0421 10.00 0.0628 0.0000 0.0000
-61.8750 85.7606 0.4382 0.2460 0.3159 0.00000 7.788 1500.0 12.0 0.0000 0.0508 10.00 0.0628 0.0000 0.0000
-56.2500 85.7606 0.3802 0.2788 0.3410 0.00000 8.229 1500.0 12.0 0.0000 0.0408 10.00 0.0628 0.0000 0.0000
-50.6250 85.7606 0.3632 0.2873 0.3495 0.00000 8.298 1500.0 12.0 0.0000 0.0360 10.00 0.0628 0.0000 0.0000
-45.0000 85.7606 0.3928 0.2681 0.3392 0.00000 8.030 1500.0 12.0 0.0000 0.0497 10.00 0.0628 0.0000 0.0000
-39.3750 85.7606 0.4473 0.2341 0.3186 0.00000 7.499 1500.0 12.0 0.0000 0.0584 10.00 0.0628 0.0000 0.0000
50.6250 80.2688 0.4439 0.2310 0.3251 0.00000 7.113 1500.0 12.0 0.0000 0.1254 15.81 0.0628 0.0000 0.0001
56.2500 80.2688 0.4539 0.2089 0.3371 0.00000 7.486 1499.9 12.0 0.0000 0.1975 24.96 0.0628 0.0001 0.0009
61.8750 80.2688 0.4869 0.1905 0.3225 0.00000 7.292 1499.9 12.0 0.0000 0.2257 27.85 0.0628 0.0001 0.0009
67.5000 80.2688 0.4120 0.2326 0.3554 0.00000 6.780 1500.0 12.0 0.0000 0.2965 38.60 0.0628 0.0000 0.0001
73.1250 80.2688 0.3543 0.2797 0.3660 0.00000 7.504 1500.0 12.0 0.0000 0.2472 33.21 0.0628 0.0000 0.0000
78.7500 80.2688 0.4396 0.2277 0.3327 0.00000 7.086 1500.0 12.0 0.0000 0.2626 33.33 0.0628 0.0000 0.0000
84.3750 80.2688 0.4613 0.2107 0.3280 0.00000 6.654 1500.0 12.0 0.0000 0.2368 29.66 0.0628 0.0000 0.0000
90.0000 80.2688 0.4606 0.2173 0.3221 0.00000 6.754 1500.0 12.0 0.0000 0.1111 13.88 0.0628 0.0000 0.0000
95.6250 80.2688 0.4644 0.2169 0.3187 0.00000 6.800 1500.0 12.0 0.0000 0.0966 12.02 0.0628 0.0000 0.0000
101.2500 80.2688 0.4889 0.2063 0.3048 0.00000 6.790 1500.0 12.0 0.0000 0.0733 10.00 0.0628 0.0000 0.0000
106.8750 80.2688 0.4094 0.2647 0.3259 0.00000 7.730 1500.0 12.0 0.0000 0.0539 10.00 0.0628 0.0000 0.0000
112.5000 80.2688 0.3464 0.2984 0.3552 0.00000 8.471 1500.0 12.0 0.0000 0.0489 10.00 0.0628 0.0000 0.0000
118.1250 80.2688 0.3906 0.2673 0.3422 0.00000 7.867 1500.0 12.0 0.0000 0.0517 10.00 0.0628 0.0000 0.0000
123.7500 80.2688 0.4409 0.2355 0.3237 0.00000 7.313 1500.0 12.0 0.0000 0.0614 10.00 0.0628 0.0000 0.0000
129.3750 80.2688 0.4637 0.2239 0.3124 0.00000 7.180 1500.0 12.0 0.0000 0.0830 10.30 0.0628 0.0000 0.0000
135.0000 80.2688 0.4476 0.2346 0.3179 0.00000 7.365 1500.0 12.0 0.0000 0.1226 15.38 0.0628 0.0000 0.0000
140.6250 80.2688 0.4676 0.2247 0.3077 0.00000 7.503 1500.0 12.0 0.0000 0.1862 23.00 0.0628 0.0000 0.0000
146.2500 80.2688 0.5372 0.1886 0.2742 0.00000 7.515 1500.0 12.0 0.0000 0.2577 30.14 0.0628 0.0000 0.0000
151.8750 80.2688 0.5645 0.1735 0.2620 0.00000 7.421 1500.0 12.0 0.0000 0.2375 27.19 0.0628 0.0000 0.0000
157.5000 80.2688 0.4466 0.2274 0.3260 0.00000 7.520 1500.0 12.0 0.0000 0.2059 25.94 0.0628 0.0000 0.0000
163.1250 80.2688 0.4521 0.2127 0.3352 0.00000 7.347 1499.9 12.0 0.0000 0.1941 24.53 0.0628 0.0000 0.0005
168.7500 80.2688 0.4465 0.2201 0.3333 0.00000 7.263 1500.0 12.0 0.0000 0.1703 21.55 0.0628 0.0000 0.0003
174.3750 80.2688 0.3961 0.2538 0.3501 0.00000 7.573 1500.0 12.0 0.0000 0.1304 17.04 0.0628 0.0000 0.0004
180.0000 80.2688 0.3985 0.2509 0.3506 0.00000 7.325 1500.0 12.0 0.0000 0.1342 17.54 0.0628 0.0000 0.0001
-174.3750 80.2688 0.4930 0.1962 0.3108 0.00000 7.133 1500.0 12.0 0.0000 0.1167 14.26 0.0628 0.0000 0.0004
-168.7500 80.2688 0.4178 0.2462 0.3360 0.00000 7.250 1500.0 12.0 0.0000 0.0501 10.00 0.0628 0.0000 0.0003
-163.1250 80.2688 0.3918 0.2604 0.3478 0.00000 7.484 1500.0 12.0 0.0000 0.0317 10.00 0.0628 0.0000 0.0000
-146.2500 80.2688 0.4968 0.1966 0.3066 0.00000 7.059 1500.0 12.0 0.0000 0.0586 10.00 0.0628 0.0000 0.0000
-140.6250 80.2688 0.4313 0.2349 0.3338 0.00000 7.026 1500.0 12.0 0.0000 0.0339 10.00 0.0628 0.0000 0.0000
-135.0000 80.2688 0.4092 0.2548 0.3360 0.00000 7.175 1500.0 12.0 0.0000 0.0303 10.00 0.0628 0.0000 0.0000
-129.3750 80.2688 0.4154 0.2454 0.3392 0.00000 7.121 1500.0 12.0 0.0000 0.0330 10.00 0.0628 0.0000 0.0000
-118.1250 80.2688 0.5419 0.1660 0.2920 0.00000 6.682 1500.0 12.0 0.0000 0.1262 14.88 0.0628 0.0000 0.0000
-112.5000 80.2688 0.4742 0.2008 0.3250 0.00000 7.414 1499.9 12.0 0.0000 0.1536 19.10 0.0628 0.0000 0.0006
-106.8750 80.2688 0.3835 0.2498 0.3667 0.00000 7.560 1499.9 12.0 0.0000 0.2045 27.13 0.0628 0.0000 0.0006
-101.2500 80.2688 0.4536 0.2342 0.3122 0.00000 7.999 1500.0 12.0 0.0000 0.2532 31.55 0.0628 0.0000 0.0000
-95.6250 80.2688 0.4194 0.2553 0.3254 0.00000 8.432 1500.0 12.0 0.0000 0.2499 31.89 0.0628 0.0000 0.0000
-90.0000 80.2688 0.4949 0.2111 0.2940 0.00000 7.787 1500.0 12.0 0.0000 0.3391 40.99 0.0628 0.0000 0.0000
-84.3750 80.2688 0.5298 0.1883 0.2819 0.00000 6.974 1500.0 12.0 0.0000 0.2565 30.26 0.0628 0.0000 0.0000
-78.7500 80.2688 0.4417 0.2437 0.3146 0.00000 7.450 1500.0 12.0 0.0000 0.1277 16.03 0.0628 0.0000 0.0000
-73.1250 80.2688 0.4973 0.2032 0.2996 0.00000 6.813 1500.0 12.0 0.0000 0.1060 12.84 0.0628 0.0000 0.0000
-56.2500 80.2688 0.5837 0.1562 0.2601 0.00000 6.649 1500.0 12.0 0.0000 0.2096 23.72 0.0628 0.0000 0.0000
-50.6250 80.2688 0.6694 0.1097 0.2209 0.00000 6.487 1500.0 12.0 0.0000 0.2810 29.59 0.0628 0.0000 0.0000
-45.0000 80.2688 0.7055 0.0901 0.2044 0.00000 6.421 1500.0 12.0 0.0000 0.2840 28.97 0.0628 0.0000 0.0000
