Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac
149.0625 87.8638 0.4790 0.2139 0.3071 0.00000 7.016 1500.0 12.0 0.0000 0.3914 48.05 0.0628
151.8750 87.8638 0.4982 0.2023 0.2994 0.00000 6.800 1500.0 12.0 0.0000 0.3521 42.63 0.0628
154.6875 87.8638 0.4504 0.2312 0.3185 0.00000 7.336 1500.0 12.0 0.0000 0.3075 38.52 0.0628
157.5000 87.8638 0.4574 0.2269 0.3157 0.00000 7.257 1500.0 12.0 0.0000 0.2799 34.89 0.0628
160.3125 87.8638 0.4055 0.2582 0.3363 0.00000 7.839 1500.0 12.0 0.0000 0.2476 31.99 0.0628
163.1250 87.8638 0.3853 0.2703 0.3444 0.00000 8.066 1500.0 12.0 0.0000 0.2244 29.39 0.0628
165.9375 87.8638 0.4176 0.2509 0.3315 0.00000 7.702 1500.0 12.0 0.0000 0.2132 27.32 0.0628
168.7500 87.8638 0.4468 0.2332 0.3200 0.00000 7.378 1500.0 12.0 0.0000 0.2003 25.16 0.0628
171.5625 87.8638 0.4313 0.2426 0.3261 0.00000 7.551 1500.0 12.0 0.0000 0.1869 23.73 0.0628
174.3750 87.8638 0.3776 0.2749 0.3476 0.00000 8.156 1500.0 12.0 0.0000 0.1683 22.17 0.0628
177.1875 87.8638 0.3572 0.2872 0.3556 0.00000 8.381 1500.0 12.0 0.0000 0.1588 21.19 0.0628
180.0000 87.8638 0.3721 0.2812 0.3468 0.00000 8.192 1500.0 12.0 0.0000 0.1504 19.85 0.0628
-177.1875 87.8638 0.3999 0.2693 0.3308 0.00000 7.840 1500.0 12.0 0.0000 0.1440 18.60 0.0628
-174.3750 87.8638 0.4085 0.2563 0.3352 0.00000 7.808 1500.0 12.0 0.0000 0.1411 18.19 0.0628
-171.5625 87.8638 0.3736 0.2774 0.3490 0.00000 8.197 1500.0 12.0 0.0000 0.1335 17.62 0.0628
-168.7500 87.8638 0.4072 0.2510 0.3418 0.00000 7.450 1500.0 12.0 0.0000 0.1507 19.52 0.0628
-165.9375 87.8638 0.3629 0.2697 0.3674 0.00000 7.453 1500.0 12.0 0.0000 0.1760 23.58 0.0628
-163.1250 87.8638 0.3883 0.2550 0.3566 0.00000 7.210 1500.0 12.0 0.0000 0.1704 22.44 0.0628
-160.3125 87.8638 0.3134 0.2834 0.4032 0.00000 7.021 1500.0 12.0 0.0000 0.2996 41.77 0.0628
-157.5000 87.8638 0.3464 0.2778 0.3758 0.00000 7.529 1500.0 12.0 0.0000 0.1679 22.75 0.0628
-154.6875 87.8638 0.3614 0.2596 0.3790 0.00000 6.804 1500.0 12.0 0.0000 0.2337 31.51 0.0628
-151.8750 87.8638 0.3342 0.2929 0.3729 0.00000 7.599 1500.0 12.0 0.0000 0.1553 21.13 0.0628
-149.0625 87.8638 0.3701 0.2561 0.3738 0.00000 6.831 1500.0 12.0 0.0000 0.2042 27.35 0.0628
-146.2500 87.8638 0.3254 0.2883 0.3862 0.00000 7.031 1500.0 12.0 0.0000 0.2093 28.78 0.0628
-143.4375 87.8638 0.3291 0.2770 0.3939 0.00000 6.807 1500.0 12.0 0.0000 0.2534 34.93 0.0628
-140.6250 87.8638 0.2999 0.2947 0.4054 0.00000 7.051 1500.0 12.0 0.0000 0.2594 36.42 0.0628
-137.8125 87.8638 0.3624 0.2603 0.3773 0.00000 6.894 1500.0 12.0 0.0000 0.1943 26.16 0.0628
-135.0000 87.8638 0.3463 0.2629 0.3908 0.00000 6.647 1500.0 12.0 0.0000 0.2649 36.18 0.0628
-132.1875 87.8638 0.3635 0.2562 0.3803 0.00000 6.665 1500.0 12.0 0.0000 0.2273 30.64 0.0628
-129.3750 87.8638 0.3238 0.2766 0.3996 0.00000 6.735 1500.0 12.0 0.0000 0.2850 39.49 0.0628
-126.5625 87.8638 0.3271 0.2829 0.3899 0.00000 7.110 1500.0 12.0 0.0000 0.1973 27.16 0.0628
-123.7500 87.8638 0.3156 0.2915 0.3929 0.00000 7.608 1500.0 12.0 0.0000 0.1637 22.68 0.0628
-120.9375 87.8638 0.3135 0.3036 0.3829 0.00000 7.948 1500.0 12.0 0.0000 0.1288 17.78 0.0628
-118.1250 87.8638 0.3250 0.2950 0.3799 0.00000 7.718 1500.0 12.0 0.0000 0.1315 18.02 0.0628
-115.3125 87.8638 0.2924 0.3174 0.3902 0.00000 8.177 1500.0 12.0 0.0000 0.1254 17.52 0.0628
-112.5000 87.8638 0.3063 0.3022 0.3916 0.00000 7.519 1500.0 12.0 0.0000 0.1670 23.21 0.0628
-109.6875 87.8638 0.3313 0.2889 0.3798 0.00000 7.885 1500.0 12.0 0.0000 0.1261 17.24 0.0628
