Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac
149.0625 87.8638 0.4790 0.2139 0.3071 0.00000 7.016 1500.0 12.0 0.0000 0.4893 60.07 0.0628
151.8750 87.8638 0.4982 0.2023 0.2994 0.00000 6.800 1500.0 12.0 0.0000 0.4402 53.29 0.0628
154.6875 87.8638 0.4504 0.2312 0.3185 0.00000 7.336 1500.0 12.0 0.0000 0.3843 48.14 0.0628
157.5000 87.8638 0.4574 0.2269 0.3157 0.00000 7.257 1500.0 12.0 0.0000 0.3499 43.62 0.0628
160.3125 87.8638 0.4055 0.2582 0.3363 0.00000 7.839 1500.0 12.0 0.0000 0.3095 39.99 0.0628
163.1250 87.8638 0.3853 0.2703 0.3444 0.00000 8.066 1500.0 12.0 0.0000 0.2805 36.74 0.0628
165.9375 87.8638 0.4176 0.2509 0.3315 0.00000 7.702 1500.0 12.0 0.0000 0.2665 34.15 0.0628
168.7500 87.8638 0.4468 0.2332 0.3200 0.00000 7.378 1500.0 12.0 0.0000 0.2504 31.44 0.0628
171.5625 87.8638 0.4313 0.2426 0.3261 0.00000 7.551 1500.0 12.0 0.0000 0.2336 29.66 0.0628
174.3750 87.8638 0.3776 0.2749 0.3476 0.00000 8.156 1500.0 12.0 0.0000 0.2104 27.71 0.0628
177.1875 87.8638 0.3572 0.2872 0.3556 0.00000 8.381 1500.0 12.0 0.0000 0.1984 26.48 0.0628
180.0000 87.8638 0.3720 0.2812 0.3468 0.00000 8.192 1500.0 12.0 0.0000 0.1880 24.81 0.0628
-177.1875 87.8638 0.3999 0.2693 0.3308 0.00000 7.840 1500.0 12.0 0.0000 0.1800 23.25 0.0628
-174.3750 87.8638 0.4085 0.2563 0.3352 0.00000 7.808 1500.0 12.0 0.0000 0.1763 22.74 0.0628
-171.5625 87.8638 0.3736 0.2774 0.3490 0.00000 8.197 1500.0 12.0 0.0000 0.1668 22.03 0.0628
-168.7500 87.8638 0.4072 0.2510 0.3418 0.00000 7.450 1500.0 12.0 0.0000 0.1806 23.38 0.0628
-165.9375 87.8638 0.3629 0.2697 0.3674 0.00000 7.453 1500.0 12.0 0.0000 0.1960 26.26 0.0628
-163.1250 87.8638 0.3883 0.2550 0.3566 0.00000 7.210 1500.0 12.0 0.0000 0.1908 25.12 0.0628
-160.3125 87.8638 0.3134 0.2834 0.4032 0.00000 7.009 1500.0 12.0 0.0000 0.2345 32.70 0.0628
-157.5000 87.8638 0.3446 0.2805 0.3749 0.00000 7.475 1500.0 12.0 0.0000 0.2499 33.88 0.0749
-154.6875 87.8638 0.3585 0.2640 0.3775 0.00000 6.726 1500.0 12.0 0.0000 0.3377 45.56 0.0821
-151.8750 87.8638 0.3304 0.2989 0.3707 0.00000 7.491 1500.0 12.0 0.0000 0.2801 38.12 0.0896
-149.0625 87.8638 0.3657 0.2627 0.3716 0.00000 6.710 1500.0 12.0 0.0000 0.3352 44.94 0.0927
-146.2500 87.8638 0.3203 0.2965 0.3831 0.00000 6.887 1500.0 12.0 0.0000 0.3367 46.33 0.0985
-143.4375 87.8638 0.3236 0.2858 0.3905 0.00000 6.651 1500.0 12.0 0.0000 0.3689 50.88 0.1012
-140.6250 87.8638 0.2937 0.3052 0.4012 0.00000 6.870 1500.0 12.0 0.0000 0.3767 52.91 0.1070
-137.8125 87.8638 0.3553 0.2711 0.3736 0.00000 6.693 1500.0 12.0 0.0000 0.3345 45.10 0.1114
-135.0000 87.8638 0.3390 0.2743 0.3867 0.00000 6.439 1500.0 12.0 0.0000 0.3855 52.70 0.1128
-132.1875 87.8638 0.3553 0.2687 0.3760 0.00000 6.430 1500.0 12.0 0.0000 0.3633 49.05 0.1188
-129.3750 87.8638 0.3157 0.2898 0.3946 0.00000 6.497 1500.0 12.0 0.0000 0.3925 54.44 0.1194
-126.5625 87.8638 0.3186 0.2966 0.3848 0.00000 6.856 1500.0 12.0 0.0000 0.3293 45.38 0.1227
-123.7500 87.8638 0.3069 0.3056 0.3875 0.00000 7.346 1500.0 12.0 0.0000 0.2982 41.37 0.1245
-120.9375 87.8638 0.3047 0.3178 0.3775 0.00000 7.679 1500.0 12.0 0.0000 0.2555 35.29 0.1260
-118.1250 87.8638 0.3165 0.3087 0.3749 0.00000 7.459 1500.0 12.0 0.0000 0.2556 35.08 0.1238
-115.3125 87.8638 0.2835 0.3323 0.3842 0.00000 7.899 1500.0 12.0 0.0000 0.2488 34.80 0.1278
-112.5000 87.8638 0.2970 0.3174 0.3856 0.00000 7.236 1500.0 12.0 0.0000 0.2983 41.51 0.1291
-109.6875 87.8638 0.3226 0.3026 0.3748 0.00000 7.621 1500.0 12.0 0.0000 0.2528 34.60 0.1250
-106.8750 87.8638 0.3609 0.2721 0.3670 0.00000 6.663 1500.0 12.0 0.0000 0.3446 46.19 0.1288
-104.0625 87.8638 0.3680 0.2651 0.3668 0.00000 6.518 1500.0 12.0 0.0000 0.3887 51.93 0.1251
-101.2500 87.8638 0.4227 0.2385 0.3389 0.00000 6.402 1500.0 12.0 0.0000 0.4685 60.14 0.1231
-98.4375 87.8638 0.4215 0.2354 0.3431 0.00000 6.341 1500.0 12.0 0.0000 0.4381 56.40 0.1184
-95.6250 87.8638 0.3613 0.2634 0.3753 0.00000 6.419 1500.0 12.0 0.0000 0.3505 47.17 0.1179
-92.8125 87.8638 0.3301 0.2856 0.3843 0.00000 6.607 1500.0 12.0 0.0000 0.3957 54.25 0.1189
-90.0000 87.8638 0.4002 0.2623 0.3375 0.00000 6.918 1500.0 12.0 0.0000 0.4100 53.15 0.1191
-87.1875 87.8638 0.3833 0.2847 0.3320 0.00000 7.805 1500.0 12.0 0.0000 0.3227 42.02 0.1175
-84.3750 87.8638 0.4853 0.2185 0.2962 0.00000 6.698 1500.0 12.0 0.0000 0.3965 48.22 0.1151
-81.5625 87.8638 0.4993 0.2133 0.2874 0.00000 7.165 1500.0 12.0 0.0000 0.3478 41.79 0.1103
-78.7500 87.8638 0.5203 0.1973 0.2824 0.00000 6.640 1500.0 12.0 0.0000 0.3047 36.12 0.1096
-75.9375 87.8638 0.4691 0.2252 0.3057 0.00000 6.918 1500.0 12.0 0.0000 0.2851 35.14 0.1103
-73.1250 87.8638 0.4738 0.2216 0.3046 0.00000 6.814 1500.0 12.0 0.0000 0.2893 35.55 0.1099
-70.3125 87.8638 0.4231 0.2519 0.3249 0.00000 7.410 1500.0 12.0 0.0000 0.2790 35.53 0.1062
-67.5000 87.8638 0.3741 0.2827 0.3432 0.00000 8.004 1500.0 12.0 0.0000 0.2647 34.83 0.0963
-64.6875 87.8638 0.3336 0.3047 0.3617 0.00000 8.503 1500.0 12.0 0.0000 0.2597 35.14 0.0915
-61.8750 87.8638 0.3061 0.3267 0.3672 0.00000 8.774 1500.0 12.0 0.0000 0.2617 35.94 0.0889
-59.0625 87.8638 0.3129 0.3368 0.3503 0.00000 8.617 1500.0 12.0 0.0000 0.2365 32.11 0.0809
-56.2500 87.8638 0.2673 0.3642 0.3685 0.00000 9.141 1500.0 12.0 0.0000 0.2280 31.86 0.0779
-53.4375 87.8638 0.2712 0.3606 0.3682 0.00000 9.137 1500.0 12.0 0.0000 0.1894 26.43 0.0692
-50.6250 87.8638 0.2754 0.3486 0.3760 0.00000 9.181 1500.0 12.0 0.0000 0.1568 21.92 0.0637
-47.8125 87.8638 0.2912 0.3462 0.3626 0.00000 8.955 1500.0 12.0 0.0000 0.1579 21.77 0.0628
-45.0000 87.8638 0.2570 0.3749 0.3681 0.00000 9.286 1500.0 12.0 0.0000 0.1679 23.56 0.0628
-42.1875 87.8638 0.3029 0.3200 0.3771 0.00000 8.982 1500.0 12.0 0.0000 0.1855 25.64 0.0628
-39.3750 87.8638 0.3834 0.2715 0.3451 0.00000 8.075 1500.0 12.0 0.0000 0.1938 25.42 0.0628
-36.5625 87.8638 0.3253 0.3065 0.3681 0.00000 8.727 1500.0 12.0 0.0000 0.1953 26.61 0.0628
-33.7500 87.8638 0.4356 0.2401 0.3243 0.00000 7.487 1500.0 12.0 0.0000 0.2083 26.37 0.0628
-30.9375 87.8638 0.4126 0.2539 0.3335 0.00000 7.746 1500.0 12.0 0.0000 0.2109 27.11 0.0628
-28.1250 87.8638 0.3955 0.2642 0.3403 0.00000 7.938 1500.0 12.0 0.0000 0.2152 28.00 0.0628
