Lon Lat b theta_s theta_fc theta_wp awc_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
180.0000 85.7606 7.66073 0.442663 0.358181 0.191577 82.645 1.000000 1.000000 0.595338 0.197100 0.197100 0.197100 0.197100 0.197100 0.197100 0.197100 0.197100 0.197100 0.197100 0.197100 0.197100
-174.3750 85.7606 7.36578 0.441218 0.352667 0.183959 88.932 1.000000 1.000000 0.889393 0.198500 0.198500 0.198500 0.198500 0.198500 0.198500 0.198500 0.198500 0.198500 0.198500 0.198500 0.198500
-168.7500 85.7606 6.82514 0.434757 0.334032 0.165484 84.945 1.000000 1.000000 0.633829 0.200500 0.200500 0.200500 0.200500 0.200500 0.200500 0.200500 0.200500 0.200500 0.200500 0.200500 0.200500
-163.1250 85.7606 6.81668 0.432993 0.330377 0.163531 95.246 1.000000 1.000000 1.000000 0.442612 0.206000 0.206000 0.206000 0.206000 0.206000 0.206000 0.206000 0.206000 0.206000 0.206000 0.206000
-157.5000 85.7606 7.21375 0.437966 0.344638 0.177322 89.052 1.000000 1.000000 0.831219 0.207600 0.207600 0.207600 0.207600 0.207600 0.207600 0.207600 0.207600 0.207600 0.207600 0.207600 0.207600
-151.8750 85.7606 7.35061 0.440012 0.350085 0.182368 87.168 1.000000 1.000000 0.703717 0.207800 0.207800 0.207800 0.207800 0.207800 0.207800 0.207800 0.207800 0.207800 0.207800 0.207800 0.207800
-146.2500 85.7606 6.97025 0.436227 0.338612 0.170224 95.047 1.000000 1.000000 1.000000 0.362038 0.207500 0.207500 0.207500 0.207500 0.207500 0.207500 0.207500 0.207500 0.207500 0.207500 0.207500
-140.6250 85.7606 6.95121 0.437671 0.341342 0.171274 107.927 1.000000 1.000000 1.000000 1.000000 0.289102 0.205700 0.205700 0.205700 0.205700 0.205700 0.205700 0.205700 0.205700 0.205700 0.205700
-135.0000 85.7606 6.88747 0.435880 0.337006 0.168022 88.640 1.000000 1.000000 0.811861 0.202800 0.202800 0.202800 0.202800 0.202800 0.202800 0.202800 0.202800 0.202800 0.202800 0.202800 0.202800
-129.3750 85.7606 7.21823 0.439339 0.347458 0.178847 82.448 1.000000 1.000000 0.493410 0.199700 0.199700 0.199700 0.199700 0.199700 0.199700 0.199700 0.199700 0.199700 0.199700 0.199700 0.199700
-123.7500 85.7606 7.29118 0.441008 0.351547 0.182158 83.668 1.000000 1.000000 0.581376 0.196500 0.196500 0.196500 0.196500 0.196500 0.196500 0.196500 0.196500 0.196500 0.196500 0.196500 0.196500
-118.1250 85.7606 7.28093 0.442131 0.353745 0.183127 87.932 1.000000 1.000000 0.842557 0.192600 0.192600 0.192600 0.192600 0.192600 0.192600 0.192600 0.192600 0.192600 0.192600 0.192600 0.192600
-112.5000 85.7606 6.72841 0.436769 0.337040 0.165297 105.570 1.000000 1.000000 1.000000 1.000000 0.283944 0.186300 0.186300 0.186300 0.186300 0.186300 0.186300 0.186300 0.186300 0.186300 0.186300
-106.8750 85.7606 6.35270 0.428464 0.315443 0.148322 96.168 1.000000 1.000000 1.000000 0.768901 0.180500 0.180500 0.180500 0.180500 0.180500 0.180500 0.180500 0.180500 0.180500 0.180500 0.180500
-101.2500 85.7606 6.59339 0.428125 0.317946 0.153674 93.808 1.000000 1.000000 1.000000 0.738197 0.179300 0.179300 0.179300 0.179300 0.179300 0.179300 0.179300 0.179300 0.179300 0.179300 0.179300
-95.6250 85.7606 5.95822 0.419490 0.291767 0.130503 96.477 1.000000 1.000000 1.000000 1.000000 0.267606 0.171500 0.171500 0.171500 0.171500 0.171500 0.171500 0.171500 0.171500 0.171500 0.171500
-90.0000 85.7606 6.78405 0.430244 0.324508 0.160084 91.067 1.000000 1.000000 1.000000 0.652030 0.171500 0.171500 0.171500 0.171500 0.171500 0.171500 0.171500 0.171500 0.171500 0.171500 0.171500
-84.3750 85.7606 5.90630 0.418813 0.289595 0.128619 113.660 1.000000 1.000000 1.000000 1.000000 1.000000 0.557677 0.167000 0.167000 0.167000 0.167000 0.167000 0.167000 0.167000 0.167000 0.167000
-78.7500 85.7606 6.02369 0.420606 0.294998 0.133108 105.282 1.000000 1.000000 1.000000 1.000000 0.875257 0.162800 0.162800 0.162800 0.162800 0.162800 0.162800 0.162800 0.162800 0.162800 0.162800
-73.1250 85.7606 6.84779 0.432035 0.328820 0.163281 89.780 1.000000 1.000000 1.000000 0.696520 0.157000 0.157000 0.157000 0.157000 0.157000 0.157000 0.157000 0.157000 0.157000 0.157000 0.157000
-67.5000 85.7606 7.12837 0.435641 0.339104 0.173092 89.577 1.000000 1.000000 1.000000 0.800785 0.145000 0.145000 0.145000 0.145000 0.145000 0.145000 0.145000 0.145000 0.145000 0.145000 0.145000
-61.8750 85.7606 7.15881 0.435112 0.338365 0.173209 105.904 1.000000 1.000000 1.000000 1.000000 0.823369 0.158900 0.158900 0.158900 0.158900 0.158900 0.158900 0.158900 0.158900 0.158900 0.158900
