Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation cec allophane polyvalent
-157.5000 85.7606 0.4246 0.2368 0.3386 0.00000 6.422 1500.0 12.0 0.0000 0.0526 10.00 0.0628 0.0000 0.0001 13.678 0.00000 8.070
-151.8750 85.7606 0.4010 0.2499 0.3490 0.00000 7.398 1500.0 12.0 0.0000 0.0514 10.00 0.0628 0.0000 0.0002 15.508 0.00000 9.150
-146.2500 85.7606 0.4343 0.2262 0.3395 0.00000 6.244 1500.0 12.0 0.0000 0.0558 10.00 0.0628 0.0000 0.0002 12.889 0.00000 7.604
-140.6250 85.7606 0.4292 0.2210 0.3498 0.00000 5.974 1500.0 12.0 0.0000 0.0621 10.00 0.0628 0.0000 0.0004 12.330 0.00001 7.275
-135.0000 85.7606 0.4360 0.2229 0.3411 0.00000 6.018 1500.0 12.0 0.0000 0.0517 10.00 0.0628 0.0000 0.0003 12.475 0.00001 7.360
-129.3750 85.7606 0.4060 0.2451 0.3490 0.00000 6.114 1500.0 12.0 0.0000 0.0438 10.00 0.0628 0.0000 0.0002 13.823 0.00000 8.155
-123.7500 85.7606 0.3918 0.2503 0.3579 0.00000 5.917 1500.0 12.0 0.0000 0.0436 10.00 0.0628 0.0000 0.0004 13.900 0.00001 8.201
-118.1250 85.7606 0.3876 0.2463 0.3661 0.00000 5.847 1499.9 12.0 0.0000 0.0480 10.00 0.0628 0.0001 0.0009 13.601 0.00002 8.024
-112.5000 85.7606 0.4394 0.2087 0.3519 0.00000 5.571 1499.9 12.0 0.0000 0.0600 10.00 0.0628 0.0001 0.0011 11.274 0.00002 6.652
-106.8750 85.7606 0.5083 0.1867 0.3049 0.00000 5.515 1500.0 12.0 0.0000 0.0598 10.00 0.0628 0.0000 0.0004 10.040 0.00001 5.924
-101.2500 85.7606 0.4996 0.2034 0.2970 0.00000 5.879 1500.0 12.0 0.0000 0.0607 10.00 0.0628 0.0000 0.0000 11.264 0.00000 6.646
-95.6250 85.7606 0.6087 0.1443 0.2470 0.00000 5.415 1500.0 12.0 0.0000 0.0687 10.00 0.0628 0.0000 0.0000 7.694 0.00000 4.042
-90.0000 85.7606 0.5352 0.1857 0.2790 0.00000 5.443 1500.0 12.0 0.0000 0.0626 10.00 0.0628 0.0000 0.0000 9.928 0.00000 5.430
-84.3750 85.7606 0.5935 0.1543 0.2522 0.00000 5.502 1500.0 12.0 0.0000 0.0744 10.00 0.0628 0.0000 0.0000 8.285 0.00000 4.888
-78.7500 85.7606 0.5718 0.1669 0.2612 0.00000 5.651 1500.0 12.0 0.0000 0.0653 10.00 0.0628 0.0000 0.0000 9.075 0.00000 5.354
-73.1250 85.7606 0.4727 0.2222 0.3052 0.00000 5.858 1500.0 12.0 0.0000 0.0355 10.00 0.0628 0.0000 0.0000 12.281 0.00000 7.246
-67.5000 85.7606 0.4305 0.2491 0.3204 0.00000 6.145 1500.0 12.0 0.0000 0.0346 10.00 0.0628 0.0000 0.0000 14.086 0.00000 8.311
-61.8750 85.7606 0.4382 0.2460 0.3159 0.00000 6.372 1500.0 12.0 0.0000 0.0419 10.00 0.0628 0.0000 0.0000 14.153 0.00000 8.350
-56.2500 85.7606 0.3802 0.2788 0.3410 0.00000 6.327 1500.0 12.0 0.0000 0.0332 10.00 0.0628 0.0000 0.0000 15.988 0.00000 9.433
-50.6250 85.7606 0.3632 0.2873 0.3495 0.00000 6.140 1500.0 12.0 0.0000 0.0282 10.00 0.0628 0.0000 0.0000 16.237 0.00000 9.580
-45.0000 85.7606 0.3928 0.2681 0.3392 0.00000 6.136 1500.0 12.0 0.0000 0.0401 10.00 0.0628 0.0000 0.0000 15.145 0.00000 8.936
-39.3750 85.7606 0.4473 0.2341 0.3186 0.00000 6.171 1500.0 12.0 0.0000 0.0497 10.00 0.0628 0.0000 0.0000 13.260 0.00000 7.823
-33.7500 85.7606 0.4561 0.2285 0.3154 0.00000 5.316 1500.0 12.0 0.0000 0.0353 10.00 0.0644 0.0000 0.0000 12.087 0.00000 5.443
-28.1250 85.7606 0.4667 0.2222 0.3111 0.00000 5.332 1500.0 12.0 0.0000 0.0354 10.00 0.0639 0.0000 0.0000 11.768 0.00000 5.442
-22.5000 85.7606 0.4903 0.2099 0.2997 0.00000 5.287 1500.0 12.0 0.0000 0.0563 10.00 0.0634 0.0000 0.0000 11.077 0.00000 4.746
-16.8750 85.7606 0.5022 0.2027 0.2952 0.00000 5.309 1500.0 12.0 0.0000 0.0557 10.00 0.0629 0.0000 0.0000 10.713 0.00000 4.764
-11.2500 85.7606 0.5293 0.1866 0.2841 0.00000 5.319 1500.0 12.0 0.0000 0.0774 10.00 0.0628 0.0000 0.0000 9.871 0.00000 4.467
