Lon Lat b theta_s theta_fc theta_wp awc_mm evaporable_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
11.2500 85.7606 5.37755 0.414993 0.272580 0.111776 45.922 48.157 1.000000 1.000000 0.102162 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
16.8750 85.7606 5.03813 0.411169 0.258012 0.099635 51.804 53.797 1.000000 1.000000 0.517342 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
22.5000 85.7606 5.09533 0.412105 0.261091 0.101907 52.874 54.912 1.000000 1.000000 0.567951 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
39.3750 85.7606 4.86957 0.409055 0.250052 0.093433 69.489 71.358 1.000000 1.000000 1.000000 0.746019 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
45.0000 85.7606 6.04610 0.422251 0.298587 0.135125 57.742 60.444 1.000000 1.000000 0.778821 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
50.6250 85.7606 5.97432 0.421136 0.295255 0.132350 57.713 60.360 1.000000 1.000000 0.789130 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
56.2500 85.7606 6.21069 0.425474 0.307456 0.142093 52.477 55.319 1.000000 1.000000 0.419873 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
61.8750 85.7606 6.71324 0.433323 0.329831 0.161501 37.438 40.668 1.000000 0.407690 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
67.5000 85.7606 6.13089 0.425790 0.306920 0.140428 43.489 46.298 1.000000 0.795690 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
73.1250 85.7606 6.12050 0.426100 0.307389 0.140456 35.500 38.310 1.000000 0.310221 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
78.7500 85.7606 6.42831 0.429898 0.319347 0.151496 26.210 28.277 0.682289 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
84.3750 85.7606 6.36495 0.429035 0.316758 0.149156 24.380 26.097 0.575448 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
90.0000 85.7606 6.30602 0.428774 0.315428 0.147489 23.564 25.109 0.523902 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
95.6250 85.7606 6.56449 0.430876 0.323074 0.155654 22.361 23.782 0.456424 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
101.2500 85.7606 6.75343 0.432928 0.329509 0.162030 21.490 22.799 0.403941 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
106.8750 85.7606 6.62002 0.432515 0.327074 0.158549 21.229 22.436 0.380511 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
112.5000 85.7606 6.51889 0.431697 0.324158 0.155380 20.882 21.994 0.358018 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
118.1250 85.7606 7.48796 0.441543 0.354431 0.186853 19.901 21.053 0.308346 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
123.7500 85.7606 7.43963 0.441072 0.353046 0.185351 19.647 20.731 0.292414 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
129.3750 85.7606 7.30443 0.439065 0.347737 0.180399 19.308 20.298 0.274607 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
135.0000 85.7606 6.71846 0.433553 0.330359 0.161849 19.285 20.143 0.265235 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
140.6250 85.7606 7.48735 0.442001 0.355351 0.187329 18.977 19.915 0.250240 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
146.2500 85.7606 7.13388 0.438996 0.345927 0.176666 19.180 20.078 0.253989 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
151.8750 85.7606 7.40222 0.441289 0.353144 0.184800 20.086 21.247 0.313970 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
157.5000 85.7606 7.45902 0.440541 0.352152 0.185191 21.846 23.436 0.429245 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
163.1250 85.7606 6.99955 0.435160 0.336774 0.169788 23.226 24.964 0.511719 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
168.7500 85.7606 5.75141 0.419435 0.288204 0.125234 25.997 27.791 0.716028 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
174.3750 85.7606 6.55755 0.430579 0.322388 0.155203 24.069 25.809 0.560453 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
180.0000 85.7606 7.18364 0.440891 0.350283 0.179725 24.219 26.162 0.540772 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-174.3750 85.7606 6.92552 0.439701 0.345239 0.172786 25.603 27.695 0.605439 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-168.7500 85.7606 6.43674 0.433889 0.327599 0.155562 24.703 26.435 0.556704 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-163.1250 85.7606 6.26125 0.430735 0.318802 0.148258 25.527 27.359 0.617622 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-157.5000 85.7606 6.69038 0.435945 0.334909 0.163588 24.584 26.402 0.555767 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-151.8750 85.7606 6.90313 0.438812 0.343169 0.171365 24.460 26.326 0.544521 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-146.2500 85.7606 6.52105 0.434960 0.330861 0.158631 25.231 27.089 0.585758 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-140.6250 85.7606 6.44094 0.435877 0.331773 0.157621 26.541 28.573 0.644801 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
