 Wavelength    Flux  
0.2 1.2148672737304385e-05
0.2002583221197802 1.2805404966193246e-05
0.2005169778911482 1.1555401765248073e-05
0.20077596774505196 9.542829415658988e-06
0.20103529211299606 1.2385038972771966e-05
0.20129495142704232 1.3591058579642958e-05
0.20155494611981073 1.379767061991542e-05
0.20181527662447996 1.4601472826671753e-05
0.20207594337478824 1.1256205784147293e-05
0.202336946805034 1.0734120931098828e-05
0.20259828735007662 8.84195146242349e-06
0.20285996544533713 1.4212076754018845e-05
0.203121981526799 1.6355242278984857e-05
0.20338433603100875 1.1606312899691793e-05
0.2036470293950768 1.6585049454994886e-05
0.20391006205667817 1.4899833352328333e-05
0.2041734344540531 1.7696207886128814e-05
0.20443714702600793 1.7994989611395737e-05
0.20470120021191576 1.7202208666256385e-05
0.2049655944517172 1.7070165556373207e-05
0.20523033018592104 1.759071076458672e-05
0.2054954078556051 1.85177910070376e-05
0.20576082790241684 1.91131818201618e-05
0.20602659076857424 1.7381882709428502e-05
0.20629269689686633 1.936010727333948e-05
0.20655914673065415 1.809504267006279e-05
0.2068259407138714 1.9850737599862778e-05
0.20709307929102505 7.874552878185113e-05
0.20736056290719634 4.5992206970577906e-05
0.20762839200804134 3.3701058884360774e-05
0.20789656703979165 3.0367015868497687e-05
0.20816508844925535 4.261680508096039e-05
0.20843395668381753 2.8140560593329927e-05
0.2087031721914412 3.6583506435962006e-05
0.20897273542066788 4.669545242171043e-05
0.20924264682061852 5.295906157204535e-05
0.2095129068409941 4.30872833281577e-05
0.20978351593207645 5.344628719947012e-05
0.210054474544729 3.9607104011643335e-05
0.21032578313039751 4.328076622937106e-05
0.21059744214111087 6.183246855688086e-05
0.21086945202948174 4.20841457259175e-05
0.21114181324870743 6.386716676702298e-05
0.2114145262525706 4.205175772233422e-05
0.21168759149544 0.00010677127954509207
0.2119610094322713 8.454358727994651e-05
0.21223478051860775 5.139098196740033e-05
0.21250890521058097 4.029124588293535e-05
0.21278338396491178 6.97944867256649e-05
0.21305821723891086 8.39800139850727e-05
0.21333340549047955 7.680368178386461e-05
0.21360894917811066 0.00010245054275420864
0.21388484876088917 5.354207839158791e-05
0.21416110469849303 8.182369530392286e-05
0.21443771745119392 5.9100304412770924e-05
0.214714687479858 6.163425342520763e-05
0.21499201524594666 5.4160775009958055e-05
0.21526970121151737 6.127952299458165e-05
0.2155477458392244 6.751900976518477e-05
0.21582614959231952 4.5415239562381113e-05
0.21610491293465292 5.466018777116282e-05
0.21638403633067385 6.14400537922686e-05
0.21666352024543148 4.025032953922037e-05
0.21694336514457566 6.376083113494575e-05
